States,Transaction_Year,Quarters,District,Transaction_Type,Transaction_Count
tamil-nadu,2019,3,tiruchirappalli district,TOTAL,2283457398.7735853
tamil-nadu,2019,3,ramanathapuram district,TOTAL,364511483.7921167
tamil-nadu,2019,3,krishnagiri district,TOTAL,1897364248.7738578
tamil-nadu,2019,3,cuddalore district,TOTAL,854430041.4558713
tamil-nadu,2019,3,kancheepuram district,TOTAL,3749463855.838708
tamil-nadu,2019,3,tiruppur district,TOTAL,3459384833.8566313
tamil-nadu,2019,3,dharmapuri district,TOTAL,892434523.6141176
tamil-nadu,2019,3,thoothukkudi district,TOTAL,514591122.2093332
tamil-nadu,2019,3,thanjavur district,TOTAL,862709786.020551
tamil-nadu,2019,3,madurai district,TOTAL,2163231649.618825
tamil-nadu,2019,3,tiruvannamalai district,TOTAL,788782442.4394717
tamil-nadu,2019,3,salem district,TOTAL,3089948772.2836018
tamil-nadu,2019,3,nagapattinam district,TOTAL,374062397.54947984
tamil-nadu,2019,3,tirupathur district,TOTAL,551887987.5341959
tamil-nadu,2019,3,ariyalur district,TOTAL,210754842.56579608
tamil-nadu,2019,3,chennai district,TOTAL,23024193806.41262
tamil-nadu,2019,3,the nilgiris district,TOTAL,366416212.008214
tamil-nadu,2019,3,erode district,TOTAL,1809433458.6710446
tamil-nadu,2019,3,karur district,TOTAL,527606128.129179
tamil-nadu,2019,3,kallakkurichi district,TOTAL,462594169.6759218
tamil-nadu,2019,3,viluppuram district,TOTAL,691014122.5419819
tamil-nadu,2019,3,pudukkottai district,TOTAL,403435245.85255337
tamil-nadu,2019,3,perambalur district,TOTAL,202989238.0194384
tamil-nadu,2019,3,coimbatore district,TOTAL,9457627886.22332
tamil-nadu,2019,3,virudhunagar district,TOTAL,603050825.4211078
tamil-nadu,2019,3,dindigul district,TOTAL,865233220.4260747
tamil-nadu,2019,3,sivaganga district,TOTAL,461238657.754354
tamil-nadu,2019,3,tenkasi district,TOTAL,316677496.8906262
tamil-nadu,2019,3,chengalpattu district,TOTAL,7255276540.840912
tamil-nadu,2019,3,kanniyakumari district,TOTAL,576372340.2691851
tamil-nadu,2019,3,tirunelveli district,TOTAL,571521395.652529
tamil-nadu,2019,3,thiruvallur district,TOTAL,5790229760.583482
tamil-nadu,2019,3,theni district,TOTAL,415596823.8817531
tamil-nadu,2019,3,ranipet district,TOTAL,621745958.3633249
tamil-nadu,2019,3,namakkal district,TOTAL,1016896335.2618289
tamil-nadu,2019,3,vellore district,TOTAL,1201803229.5388474
tamil-nadu,2019,3,thiruvarur district,TOTAL,261636404.8962479
tamil-nadu,2019,1,tiruchirappalli district,TOTAL,1460934059.6618776
tamil-nadu,2019,1,ramanathapuram district,TOTAL,261212990.57586715
tamil-nadu,2019,1,krishnagiri district,TOTAL,1549327562.4754324
tamil-nadu,2019,1,cuddalore district,TOTAL,699951874.4703772
tamil-nadu,2019,1,kancheepuram district,TOTAL,2735468905.1703753
tamil-nadu,2019,1,tiruppur district,TOTAL,2186722074.262658
tamil-nadu,2019,1,dharmapuri district,TOTAL,668652808.0588444
tamil-nadu,2019,1,thoothukkudi district,TOTAL,359895560.1460023
tamil-nadu,2019,1,thanjavur district,TOTAL,669639245.9756603
tamil-nadu,2019,1,madurai district,TOTAL,1386372054.5139372
tamil-nadu,2019,1,tiruvannamalai district,TOTAL,587600686.1729097
tamil-nadu,2019,1,salem district,TOTAL,1916555034.6953974
tamil-nadu,2019,1,nagapattinam district,TOTAL,244377942.67220742
tamil-nadu,2019,1,tirupathur district,TOTAL,385038982.587596
tamil-nadu,2019,1,ariyalur district,TOTAL,152352863.72042736
tamil-nadu,2019,1,chennai district,TOTAL,18810971714.51368
tamil-nadu,2019,1,the nilgiris district,TOTAL,309832942.56843877
tamil-nadu,2019,1,erode district,TOTAL,1057858607.532634
tamil-nadu,2019,1,karur district,TOTAL,377068327.0145311
tamil-nadu,2019,1,kallakkurichi district,TOTAL,337609667.69771576
tamil-nadu,2019,1,viluppuram district,TOTAL,514030368.828369
tamil-nadu,2019,1,pudukkottai district,TOTAL,348619009.32284886
tamil-nadu,2019,1,perambalur district,TOTAL,140622320.1727047
tamil-nadu,2019,1,coimbatore district,TOTAL,5072064993.630945
tamil-nadu,2019,1,virudhunagar district,TOTAL,434593501.068418
tamil-nadu,2019,1,dindigul district,TOTAL,653290732.3983055
tamil-nadu,2019,1,sivaganga district,TOTAL,364945762.4726825
tamil-nadu,2019,1,tenkasi district,TOTAL,235423158.3782131
tamil-nadu,2019,1,chengalpattu district,TOTAL,4918695631.396448
tamil-nadu,2019,1,kanniyakumari district,TOTAL,403789101.6641393
tamil-nadu,2019,1,tirunelveli district,TOTAL,446437662.9956399
tamil-nadu,2019,1,thiruvallur district,TOTAL,3957616692.241628
tamil-nadu,2019,1,theni district,TOTAL,316272934.5833893
tamil-nadu,2019,1,ranipet district,TOTAL,468967113.39919156
tamil-nadu,2019,1,namakkal district,TOTAL,779612379.6185097
tamil-nadu,2019,1,vellore district,TOTAL,796074971.7121506
tamil-nadu,2019,1,thiruvarur district,TOTAL,195536577.7617722
tamil-nadu,2022,4,tiruchirappalli district,TOTAL,18674871633.79885
tamil-nadu,2022,4,ramanathapuram district,TOTAL,5131912118.760078
tamil-nadu,2022,4,krishnagiri district,TOTAL,27528800881.08297
tamil-nadu,2022,4,cuddalore district,TOTAL,9263849009.273396
tamil-nadu,2022,4,kancheepuram district,TOTAL,22979273761.178146
tamil-nadu,2022,4,tiruppur district,TOTAL,27993817372.884705
tamil-nadu,2022,4,dharmapuri district,TOTAL,13284210841.009699
tamil-nadu,2022,4,thoothukkudi district,TOTAL,6774717593.060657
tamil-nadu,2022,4,thanjavur district,TOTAL,7929388570.071096
tamil-nadu,2022,4,madurai district,TOTAL,39075713283.65903
tamil-nadu,2022,4,tiruvannamalai district,TOTAL,9545432273.854141
tamil-nadu,2022,4,salem district,TOTAL,52189264730.86203
tamil-nadu,2022,4,nagapattinam district,TOTAL,3688142192.789018
tamil-nadu,2022,4,tirupathur district,TOTAL,8186140455.240453
tamil-nadu,2022,4,ariyalur district,TOTAL,2323435387.037087
tamil-nadu,2022,4,chennai district,TOTAL,52708969517.53118
tamil-nadu,2022,4,the nilgiris district,TOTAL,4520156369.4038925
tamil-nadu,2022,4,erode district,TOTAL,13727797354.99751
tamil-nadu,2022,4,karur district,TOTAL,4869161063.115521
tamil-nadu,2022,4,kallakkurichi district,TOTAL,6197053072.30322
tamil-nadu,2022,4,viluppuram district,TOTAL,6442185710.5079155
tamil-nadu,2022,4,pudukkottai district,TOTAL,4756557513.936826
tamil-nadu,2022,4,perambalur district,TOTAL,2139737159.8272598
tamil-nadu,2022,4,coimbatore district,TOTAL,56926594389.65879
tamil-nadu,2022,4,virudhunagar district,TOTAL,7070008076.062214
tamil-nadu,2022,4,dindigul district,TOTAL,12201984709.758507
tamil-nadu,2022,4,sivaganga district,TOTAL,4894047781.374544
tamil-nadu,2022,4,tenkasi district,TOTAL,4139835704.6142645
tamil-nadu,2022,4,chengalpattu district,TOTAL,143850411731.03555
tamil-nadu,2022,4,kanniyakumari district,TOTAL,8142588843.674078
tamil-nadu,2022,4,tirunelveli district,TOTAL,7605241924.228041
tamil-nadu,2022,4,thiruvallur district,TOTAL,41018657465.028946
tamil-nadu,2022,4,theni district,TOTAL,6887377073.070898
tamil-nadu,2022,4,ranipet district,TOTAL,6482440332.589865
tamil-nadu,2022,4,namakkal district,TOTAL,12192052206.513931
tamil-nadu,2022,4,vellore district,TOTAL,11677039040.344677
tamil-nadu,2022,4,thiruvarur district,TOTAL,2670800447.3045335
tamil-nadu,2022,2,tiruchirappalli district,TOTAL,12634551299.241276
tamil-nadu,2022,2,ramanathapuram district,TOTAL,3744853011.614974
tamil-nadu,2022,2,krishnagiri district,TOTAL,24721054679.65894
tamil-nadu,2022,2,cuddalore district,TOTAL,8117134896.240127
tamil-nadu,2022,2,kancheepuram district,TOTAL,22731542491.811836
tamil-nadu,2022,2,tiruppur district,TOTAL,23838727353.104855
tamil-nadu,2022,2,dharmapuri district,TOTAL,11978363491.184544
tamil-nadu,2022,2,thoothukkudi district,TOTAL,5842566259.232948
tamil-nadu,2022,2,thanjavur district,TOTAL,7198941291.2239
tamil-nadu,2022,2,madurai district,TOTAL,17264493941.688946
tamil-nadu,2022,2,tiruvannamalai district,TOTAL,8492400732.338126
tamil-nadu,2022,2,salem district,TOTAL,30338068694.55334
tamil-nadu,2022,2,nagapattinam district,TOTAL,3563820744.073098
tamil-nadu,2022,2,tirupathur district,TOTAL,7419909368.9099245
tamil-nadu,2022,2,ariyalur district,TOTAL,2099380930.1451182
tamil-nadu,2022,2,chennai district,TOTAL,154665269695.64178
tamil-nadu,2022,2,the nilgiris district,TOTAL,4192820800.6586566
tamil-nadu,2022,2,erode district,TOTAL,14313011584.19171
tamil-nadu,2022,2,karur district,TOTAL,4285560062.068948
tamil-nadu,2022,2,kallakkurichi district,TOTAL,5639207666.8493
tamil-nadu,2022,2,viluppuram district,TOTAL,5986428096.992262
tamil-nadu,2022,2,pudukkottai district,TOTAL,4133146343.311369
tamil-nadu,2022,2,perambalur district,TOTAL,1942588737.1276388
tamil-nadu,2022,2,coimbatore district,TOTAL,59260276493.12476
tamil-nadu,2022,2,virudhunagar district,TOTAL,6563589359.971757
tamil-nadu,2022,2,dindigul district,TOTAL,9862085177.478687
tamil-nadu,2022,2,sivaganga district,TOTAL,4572110215.1412115
tamil-nadu,2022,2,tenkasi district,TOTAL,3744115676.153031
tamil-nadu,2022,2,chengalpattu district,TOTAL,33118244166.51247
tamil-nadu,2022,2,kanniyakumari district,TOTAL,6825432728.488245
tamil-nadu,2022,2,tirunelveli district,TOTAL,6293477478.325724
tamil-nadu,2022,2,thiruvallur district,TOTAL,40588215771.8699
tamil-nadu,2022,2,theni district,TOTAL,5292036888.261049
tamil-nadu,2022,2,ranipet district,TOTAL,6359870289.317292
tamil-nadu,2022,2,namakkal district,TOTAL,8629035859.175919
tamil-nadu,2022,2,vellore district,TOTAL,11364769190.93938
tamil-nadu,2022,2,thiruvarur district,TOTAL,2517626211.7731895
tamil-nadu,2022,3,tiruchirappalli district,TOTAL,16339844623.273811
tamil-nadu,2022,3,ramanathapuram district,TOTAL,4657168292.975974
tamil-nadu,2022,3,krishnagiri district,TOTAL,25680854032.527496
tamil-nadu,2022,3,cuddalore district,TOTAL,8326894677.322099
tamil-nadu,2022,3,kancheepuram district,TOTAL,22598905113.9707
tamil-nadu,2022,3,tiruppur district,TOTAL,25599159008.871284
